AASP101 |<i> Formerly AASP300. </i> The impact of public policies on the black community and the role of the policy process in affecting the social, economic and political well-being of minorities. Particular attention given to the post-1960 to present era.| |Public Policy and the Black Community| REG/P-F/AUD 3  |CORE Behavioral and Social Science (SB) Course.|
AASP200 |A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.| |African Civilization| REG/P-F/AUD 3  |CORE Humanities (HO) Course.|
BUFN766 |<i> Prerequisite: BUFN761 or BUFN726. For Majors Only. Credit will be granted for only one of the following: BUFN735 or BUFN766. Formerly BUFN735. </i> Develop Excel and Visual Basic (VBA) models to solve problems related to portfolio management, options valuation, fixed income securities, interest rate processes, and risk management. This course thus bridges theory with the design of algorithms and models that can be directly applied in practice.| |Financial Engineering| REG 2  
BUFN771 |<i> Prerequisite: BUFN770. For majors only. Credit will be granted for only one of the following: BUFN724; or BUFN770 and BUFN771. Formerly BUFN724. </i> Continuation of BUFN770. Issues addressed will include captial budgeting, project financing, exhange rate exposure (operating, translation, and transaction), foreign investment strategy, and risk management.| |International Corporate and Project Finance| REG 2  
BUFN772 |<i> Prerequisite: BUSI640. For Majors Only. Credit will be granted for only one of the following: BUFN722 or BUFN772. Formerly BUFN722. </i> Analyze and discuss readings in bank management,with primary focus on the measurement and management of risk, including credit, market, and interest rate risk. Look at the management of liquid reserves. Examine the special nature of financial institutions, incorporating their functions, policies, services, and regulation. Study the evolving nature of the financial services inductry, by reading the financial press and by having outside practitioner speakers. Focus is on U.S. banks.| |Bank Management| REG 2  
BUFN773 |<i> Prerequisite: BUSI640. For majors only. </i> Examines how money is managed by organizations such as university endowments, pension funds, mutual funds, hedge funds, and private equity funds. Involves a mixture of finance and economics and emphasizes the incentives professional money managers face within the context of the organizational structure in which they operate. Particular attention is paid to compensation structures and monitoring mechanisms.| |Institutional Asset Management| REG 2  
BULM733 |<i> For majors only or permission of department. Credit will be granted for only one of the following: BMGT773 or BULM733. Formerly BMGT773. </i> Acquaints students with managerial issues in international logistics and transportation, and provides students with an understanding of issues related to import/export management and the global marketplace.| |Global Trade Logistics| REG 2  
BULM744 |<i> For majors only or permission of department. </i> Explores methods to build enterprise resillience from the perspectives of the supply chain planner and supply chain manager. Addresses concerns assessing strategic & operational risks, day to day uncertainties in demand & supply and ensuring business continuity after low probability but high impact events such as a terrorist attack or earthquake.| |Global Supply Chain Risk Management| REG 2  
BULM759  |Independent Study in Logistics Management| REG 1-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
BUMK715 |<i> Cannot be repeated for 3 credits. Prerequisite: BUSI650. For Business Majors only. Credit will be granted for only one of the following: BMGT754 or BUMK715. Formerly BMGT754. </i> Analysis of customer decision-making and how marketing strategy can be used to influence those decisions. The framework is a buyer behavior model, in which concepts from psychology, sociology, and economics are applied to individual and organizational purchase decisions. Marketing strategies of leading firms in consumer products, technology, and services (including internet services) are analyzed using a variety of case study formats. Focus is consumer behavior; however, principles can also be applied to the decision-making of business. Non-majors should review their registration eligibility in the statement preceding the BUMK courses.| |Consumer Behavior| REG 2  
BUMK731 |<i> Cannot be repeated for 3 credits. Prerequisite: BUSI 650. </i> Focus is large fraction of marketing activity directed at organizational customers (businesses, non-profits and government). Marketing strategies, tactics and analytical tools most relevant when marketing to organizational customers are covered. Readings, cases and term paper contribute to understanding how to build long term buyer/seller relationships. Course is appropriate for anyone interested in understanding relationships between organizations, including vertical strategic alliances. Non-majors should review their registration eligibility in the statement preceding the BUMK courses.| |Business-to-Business Marketing| REG 2  
BUMK736 |<i> Cannot be repeated for 3 credits. Prerequisite: BUSI 650. </i> Examines special challenges service marketing poses for managers because of the intangible, heterogeneous nature of the product, and the critical role of customer contact employees in service delivery. Strategies for meeting these challanges are addressed. Topics include 1) customer relationship management, 2) the design and execution of the service delivery process, 3) the development and implementation of employee customer service skills, 4) the measurement and management of critical outcome variables, such as customer satisfaction, customer equity, and customer lifetime value, and 5) the role of emerging technology in customer service.| |Service Marketing and Management| REG 2  
BUMK757 |<i> Cannot be repeated for 3 credits. Prerequisite: BUSI 650. Credit will be granted for only one of the following: BMGT 757 or BUMK 757. Formerly BMGT757. </i> A capstone marketing course. Marketing strategies designed to manage products in selected market segments. Topics covered include competitor analysis, buyer analysis, market segments, and product strengths and weaknesses; product related issues are identified and marketing strategies developed, assessed and implemented. Non-majors should review their registration eligibility in the statement preceding the BUMK courses.| |Marketing Strategy| REG 2  
BUMK759  |Independent Study in Marketing| REG 1-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
BUMO714 |<i> Credit will be granted for only one of the following: BMGT 764 or BUMO 714. Formerly BMGT764. </i> Negotiations knowledge and skills through a series of readings (the use of power during bargaining exchanges, principles of effective listening, and bargaining strategies and tactics) and through the opportunity to practice negotiating. Non-majors should review their registration eligibility in the statement preceding the BUMO courses.| |Executive Power and Negotiation| REG 3  
BUMO725 |<i> For MBA majors only. </i> Focuses on networks, social capital, and influence as they relate to operating effectively in organizations. It draws heavily on emerging literature related to social capital and networks, but also integrates concepts from persuasion, communication, and motivation literatures to aid your efforts to build a successful track record for yourself and your organization.| |Networks and Influence| REG 2  
BUMO751 |<i> Prerequisite: completion of the MBA core requirements or permission of department. Corequisite: BUSI 690. Credit will be granted for only one of the following: BMGT 767 or BUMO 751. Formerly BMGT767. </i> Organizational dynamics of competitive advantage. Impact of alternative organizational structures, planning and control systems, human resource management practices, and executive leadership styles on the implementation of archetypically different strategies.| |Implementing Strategy: Organizing to Compete| REG 3  
BUMO756 |<i> Recommended: BUSI 690. Credit will be granted for only one of the following: BMGT 792 or BUMO 756. Formerly BMGT792. </i> This industry and competitor analysis seminar provides students with the conceptual framework and analytical tools for understanding the dynamics of industry structure and how competitors actually interact in the marketplace. An understanding of the dynamics of competition and industry evolution is an important input in the development of an effective competitive strategy.| |Industry and Competitor Analysis| REG 3  
BUMO759  |Independent Study in Management and Organization| REG 1-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
BUSI611 |<i> Prerequisite: BMGT 610. For BMGT majors only. Credit will be granted for only one of the following: BMGT 611 or BUSI 611. Formerly BMGT611. </i> Use of accounting data in corporate planning and control. Cost-volume- profit analysis, budgeting, pricing decisions and cost data, transfer pricing, activity-based management, performance measures, and standard costing.| |Managerial Accounting| REG 2 (PermReq) 
BUSI621 |<i> For Majors only or permission of department. Credit will be granted for only one of the following: BUSI620 or BUSI621. </i> Introduces students to the key issues in managing information technology (IT) and provides an overview of how major IT applications in today's firms support strategic, opertaional, and tactical decisions. Topics include: synchroizing IT and business strategy; the transformational impacts of IT; evaluating and coping with new technologies; governing, managing, and organizing the IT function including outsourcing/offshoring considerations; assessing the business value of IT and justifying IT projects; and managing IT applications in functional areas to support strategy and business process.| |Strategic and Transformational IT| REG 2  
BUSI622 |<i> For majors only or permission of department. </i> The objective is to understand the strategic and tactical issues involved in managing digital businesses and markets. Also, some of the characteristics of digital businesses and markets that make them unique and understand how companies can bes manage them will be examined.| |Managing Digital Business Markets| REG 2  
BUSI630 |<i> For BMGT majors only. Credit will be granted for only one of the following: BMGT 630 or BUSI 630. Formerly BMGT630. </i> To develop probabilistic and statistical concepts, methods and models through examples motivated by real-life data from business and to stress the role that statistics plays in the managerial decision making process. Non-majors should review their registration eligibility in the statement preceding the BUSI courses.| |Data Models and Decisions| REG 3 (PermReq) 
BUSI634 |<i> For majors only or permission of department. </i> Operations management is concerned with efficient and effective design and operation of business processes for delivering products and/or services. Emphasis is given to process analysis and design, capacity management and bottlenecks, waiting lines and the impact of uncertainty in process performance, quality management, lean, six-sigma, and revenue management.| |Operations Management| REG 2 (PermReq) 
